Source;Target;Type;Weight
78;683;Direct;1
78;835;Direct;1
78;724;Direct;1
78;213;Direct;1
78;1023;Direct;1
78;1219;Direct;1
78;1149;Direct;1
78;753;Direct;1
78;221;Direct;1
85;1118;Direct;1
85;793;Direct;1
85;337;Direct;1
85;1163;Direct;1
85;789;Direct;1
86;88;Direct;1
86;793;Direct;1
86;1118;Direct;1
86;847;Direct;1
86;213;Direct;1
86;62;Direct;1
86;911;Direct;1
86;1178;Direct;1
86;275;Direct;1
86;375;Direct;1
86;609;Direct;1
86;1032;Direct;1
86;221;Direct;1
86;1109;Direct;1
86;1298;Direct;1
86;1239;Direct;1
86;61;Direct;1
86;945;Direct;1
86;660;Direct;1
86;158;Direct;1
86;1054;Direct;1
86;1131;Direct;1
86;1274;Direct;1
86;1029;Direct;1
86;1226;Direct;1
86;446;Direct;1
86;803;Direct;1
86;163;Direct;1
86;104;Direct;1
86;1125;Direct;1
86;329;Direct;1
86;1163;Direct;1
86;337;Direct;1
86;854;Direct;1
86;265;Direct;1
86;859;Direct;1
86;1022;Direct;1
86;1294;Direct;1
86;1260;Direct;1
86;1218;Direct;1
86;1232;Direct;1
86;839;Direct;1
86;763;Direct;1
86;1082;Direct;1
86;571;Direct;1
86;648;Direct;1
86;401;Direct;1
86;498;Direct;1
86;724;Direct;1
86;961;Direct;1
86;1160;Direct;1
86;986;Direct;1
86;502;Direct;1
86;476;Direct;1
86;1275;Direct;1
86;44;Direct;1
86;363;Direct;1
86;693;Direct;1
86;1228;Direct;1
86;431;Direct;1
86;582;Direct;1
86;484;Direct;1
86;939;Direct;1
86;1150;Direct;1
86;1090;Direct;1
86;846;Direct;1
87;89;Direct;1
87;793;Direct;1
87;945;Direct;1
87;1118;Direct;1
87;221;Direct;1
87;789;Direct;1
87;337;Direct;1
87;1293;Direct;1
87;609;Direct;1
87;1029;Direct;1
87;1125;Direct;1
99;1118;Direct;1
99;793;Direct;1
99;1023;Direct;1
99;1221;Direct;1
99;1219;Direct;1
99;847;Direct;1
100;337;Direct;1
100;1118;Direct;1
100;847;Direct;1
100;1023;Direct;1
100;265;Direct;1
100;293;Direct;1
101;1189;Direct;1
101;888;Direct;1
101;793;Direct;1
101;660;Direct;1
101;1192;Direct;1
101;1118;Direct;1
101;1219;Direct;1
101;763;Direct;1
101;260;Direct;1
101;835;Direct;1
101;798;Direct;1
101;373;Direct;1
101;97;Direct;1
101;390;Direct;1
101;265;Direct;1
101;953;Direct;1
101;571;Direct;1
101;375;Direct;1
101;1205;Direct;1
101;1123;Direct;1
101;843;Direct;1
101;66;Direct;1
101;1109;Direct;1
101;1284;Direct;1
101;153;Direct;1
101;1054;Direct;1
101;537;Direct;1
101;327;Direct;1
101;532;Direct;1
101;542;Direct;1
101;831;Direct;1
101;637;Direct;1
101;753;Direct;1
101;770;Direct;1
101;945;Direct;1
101;75;Direct;1
101;176;Direct;1
101;64;Direct;1
101;65;Direct;1
101;659;Direct;1
101;575;Direct;1
101;561;Direct;1
101;94;Direct;1
101;71;Direct;1
101;535;Direct;1
101;539;Direct;1
101;541;Direct;1
101;1131;Direct;1
101;533;Direct;1
101;534;Direct;1
101;262;Direct;1
101;263;Direct;1
101;536;Direct;1
101;662;Direct;1
101;1023;Direct;1
101;594;Direct;1
101;803;Direct;1
101;1183;Direct;1
101;593;Direct;1
101;1092;Direct;1
101;363;Direct;1
101;582;Direct;1
101;178;Direct;1
101;1298;Direct;1
101;264;Direct;1
101;221;Direct;1
101;595;Direct;1
101;558;Direct;1
101;1291;Direct;1
101;832;Direct;1
101;704;Direct;1
101;135;Direct;1
101;1163;Direct;1
101;856;Direct;1
101;857;Direct;1
101;665;Direct;1
101;70;Direct;1
101;658;Direct;1
101;412;Direct;1
101;759;Direct;1
101;328;Direct;1
101;1134;Direct;1
101;442;Direct;1
101;95;Direct;1
101;261;Direct;1
101;506;Direct;1
101;507;Direct;1
101;508;Direct;1
101;394;Direct;1
101;730;Direct;1
101;286;Direct;1
101;538;Direct;1
101;540;Direct;1
101;731;Direct;1
101;568;Direct;1
101;772;Direct;1
101;891;Direct;1
101;663;Direct;1
101;1233;Direct;1
101;1133;Direct;1
101;1224;Direct;1
101;1186;Direct;1
101;1187;Direct;1
101;467;Direct;1
101;870;Direct;1
101;386;Direct;1
101;1098;Direct;1
101;1200;Direct;1
101;72;Direct;1
101;364;Direct;1
101;61;Direct;1
101;732;Direct;1
101;1074;Direct;1
101;353;Direct;1
101;729;Direct;1
101;954;Direct;1
101;408;Direct;1
101;733;Direct;1
101;1114;Direct;1
101;1160;Direct;1
101;792;Direct;1
101;553;Direct;1
101;1264;Direct;1
101;1159;Direct;1
101;310;Direct;1
101;1195;Direct;1
101;152;Direct;1
101;1006;Direct;1
101;90;Direct;1
101;939;Direct;1
101;105;Direct;1
101;216;Direct;1
101;93;Direct;1
101;609;Direct;1
101;509;Direct;1
101;818;Direct;1
101;871;Direct;1
101;1004;Direct;1
101;341;Direct;1
101;1236;Direct;1
101;977;Direct;1
101;596;Direct;1
101;745;Direct;1
101;1005;Direct;1
101;789;Direct;1
101;830;Direct;1
101;683;Direct;1
101;1028;Direct;1
101;1258;Direct;1
101;1254;Direct;1
101;446;Direct;1
101;693;Direct;1
101;1093;Direct;1
101;499;Direct;1
127;720;Direct;1
139;793;Direct;1
139;1023;Direct;1
139;582;Direct;1
139;1038;Direct;1
139;476;Direct;1
139;1163;Direct;1
139;207;Direct;1
139;581;Direct;1
139;961;Direct;1
139;945;Direct;1
139;1254;Direct;1
139;191;Direct;1
139;847;Direct;1
139;1118;Direct;1
139;337;Direct;1
139;911;Direct;1
156;793;Direct;1
156;763;Direct;1
156;1163;Direct;1
156;502;Direct;1
156;945;Direct;1
156;939;Direct;1
156;1001;Direct;1
156;683;Direct;1
156;337;Direct;1
156;174;Direct;1
156;346;Direct;1
156;178;Direct;1
156;529;Direct;1
156;221;Direct;1
156;505;Direct;1
156;1118;Direct;1
156;1219;Direct;1
156;1131;Direct;1
156;1032;Direct;1
157;518;Direct;1
157;911;Direct;1
157;945;Direct;1
157;793;Direct;1
157;1038;Direct;1
157;609;Direct;1
157;221;Direct;1
157;1226;Direct;1
157;104;Direct;1
157;431;Direct;1
157;1118;Direct;1
157;1023;Direct;1
157;337;Direct;1
157;1260;Direct;1
157;310;Direct;1
157;316;Direct;1
157;1205;Direct;1
157;1289;Direct;1
157;446;Direct;1
159;1145;Direct;1
159;1163;Direct;1
159;793;Direct;1
159;1219;Direct;1
159;310;Direct;1
159;1289;Direct;1
159;1118;Direct;1
159;703;Direct;1
159;945;Direct;1
159;135;Direct;1
159;502;Direct;1
159;609;Direct;1
159;1054;Direct;1
159;1239;Direct;1
159;753;Direct;1
159;939;Direct;1
159;789;Direct;1
159;1131;Direct;1
159;275;Direct;1
159;660;Direct;1
159;375;Direct;1
159;151;Direct;1
159;1160;Direct;1
159;1226;Direct;1
159;316;Direct;1
159;526;Direct;1
159;683;Direct;1
159;104;Direct;1
159;961;Direct;1
159;600;Direct;1
159;44;Direct;1
159;475;Direct;1
159;1220;Direct;1
159;232;Direct;1
159;124;Direct;1
159;1229;Direct;1
159;1032;Direct;1
159;1109;Direct;1
159;786;Direct;1
159;1100;Direct;1
159;446;Direct;1
159;1205;Direct;1
159;1221;Direct;1
159;484;Direct;1
159;285;Direct;1
159;794;Direct;1
159;221;Direct;1
159;808;Direct;1
159;350;Direct;1
159;553;Direct;1
159;1087;Direct;1
159;513;Direct;1
159;693;Direct;1
159;571;Direct;1
159;1254;Direct;1
159;1183;Direct;1
159;524;Direct;1
159;213;Direct;1
159;624;Direct;1
159;363;Direct;1
159;1149;Direct;1
159;346;Direct;1
159;284;Direct;1
159;283;Direct;1
159;347;Direct;1
159;1240;Direct;1
159;311;Direct;1
159;836;Direct;1
159;447;Direct;1
159;1138;Direct;1
159;1199;Direct;1
159;1009;Direct;1
159;777;Direct;1
159;1090;Direct;1
159;878;Direct;1
159;1026;Direct;1
159;1023;Direct;1
159;337;Direct;1
159;847;Direct;1
159;254;Direct;1
159;599;Direct;1
159;757;Direct;1
159;867;Direct;1
159;1293;Direct;1
159;1130;Direct;1
159;651;Direct;1
159;949;Direct;1
159;444;Direct;1
159;1047;Direct;1
159;140;Direct;1
159;1194;Direct;1
159;414;Direct;1
159;125;Direct;1
159;577;Direct;1
159;835;Direct;1
159;192;Direct;1
159;390;Direct;1
159;20;Direct;1
159;354;Direct;1
159;380;Direct;1
159;1038;Direct;1
164;793;Direct;1
164;178;Direct;1
164;1118;Direct;1
164;945;Direct;1
164;337;Direct;1
164;939;Direct;1
164;1032;Direct;1
164;1219;Direct;1
164;1131;Direct;1
164;174;Direct;1
164;582;Direct;1
164;789;Direct;1
175;582;Direct;1
175;1160;Direct;1
175;337;Direct;1
175;1219;Direct;1
175;174;Direct;1
175;793;Direct;1
175;847;Direct;1
175;1118;Direct;1
175;1254;Direct;1
180;961;Direct;1
180;911;Direct;1
180;703;Direct;1
180;310;Direct;1
180;1163;Direct;1
180;1118;Direct;1
180;793;Direct;1
180;183;Direct;1
180;363;Direct;1
180;660;Direct;1
180;104;Direct;1
180;854;Direct;1
180;719;Direct;1
180;582;Direct;1
180;29;Direct;1
180;1226;Direct;1
180;1229;Direct;1
180;176;Direct;1
180;835;Direct;1
180;724;Direct;1
180;1282;Direct;1
180;1100;Direct;1
180;939;Direct;1
180;502;Direct;1
180;1149;Direct;1
180;1205;Direct;1
180;446;Direct;1
180;1160;Direct;1
180;1054;Direct;1
180;196;Direct;1
180;135;Direct;1
180;609;Direct;1
180;1300;Direct;1
180;1023;Direct;1
180;945;Direct;1
181;1163;Direct;1
181;1160;Direct;1
181;793;Direct;1
181;1118;Direct;1
181;213;Direct;1
181;1023;Direct;1
181;337;Direct;1
181;1219;Direct;1
181;439;Direct;1
181;182;Direct;1
194;1118;Direct;1
194;793;Direct;1
194;945;Direct;1
194;660;Direct;1
194;104;Direct;1
194;1096;Direct;1
194;1149;Direct;1
194;329;Direct;1
194;582;Direct;1
194;1023;Direct;1
194;213;Direct;1
194;221;Direct;1
194;1100;Direct;1
197;793;Direct;1
197;945;Direct;1
197;1032;Direct;1
197;265;Direct;1
197;1023;Direct;1
197;609;Direct;1
197;835;Direct;1
197;763;Direct;1
197;221;Direct;1
197;446;Direct;1
197;1160;Direct;1
197;1118;Direct;1
197;1131;Direct;1
204;203;Direct;1
204;843;Direct;1
204;1023;Direct;1
204;205;Direct;1
204;911;Direct;1
204;793;Direct;1
204;213;Direct;1
204;1276;Direct;1
204;1118;Direct;1
204;1183;Direct;1
206;203;Direct;1
206;911;Direct;1
206;609;Direct;1
206;793;Direct;1
206;213;Direct;1
206;1023;Direct;1
206;1118;Direct;1
206;600;Direct;1
206;945;Direct;1
208;835;Direct;1
208;1118;Direct;1
208;1219;Direct;1
208;793;Direct;1
208;582;Direct;1
208;1109;Direct;1
208;553;Direct;1
208;446;Direct;1
208;600;Direct;1
208;1131;Direct;1
208;1032;Direct;1
208;1111;Direct;1
208;911;Direct;1
208;939;Direct;1
208;847;Direct;1
208;1149;Direct;1
208;135;Direct;1
208;1023;Direct;1
208;337;Direct;1
208;332;Direct;1
208;782;Direct;1
208;786;Direct;1
209;793;Direct;1
209;1118;Direct;1
209;660;Direct;1
209;104;Direct;1
209;582;Direct;1
209;1219;Direct;1
209;1023;Direct;1
209;1246;Direct;1
209;265;Direct;1
209;221;Direct;1
209;553;Direct;1
209;609;Direct;1
209;1100;Direct;1
209;592;Direct;1
209;1163;Direct;1
209;375;Direct;1
209;945;Direct;1
209;1109;Direct;1
219;1118;Direct;1
219;1219;Direct;1
219;310;Direct;1
219;1023;Direct;1
219;589;Direct;1
219;176;Direct;1
219;793;Direct;1
219;843;Direct;1
219;218;Direct;1
219;316;Direct;1
219;446;Direct;1
219;1163;Direct;1
219;600;Direct;1
219;854;Direct;1
219;945;Direct;1
219;1193;Direct;1
219;1254;Direct;1
219;1205;Direct;1
225;1118;Direct;1
225;418;Direct;1
225;793;Direct;1
225;1221;Direct;1
225;293;Direct;1
225;265;Direct;1
225;703;Direct;1
225;945;Direct;1
225;1219;Direct;1
225;939;Direct;1
225;1023;Direct;1
225;337;Direct;1
225;122;Direct;1
225;582;Direct;1
226;685;Direct;1
226;221;Direct;1
226;227;Direct;1
226;1023;Direct;1
226;778;Direct;1
242;793;Direct;1
242;245;Direct;1
242;1118;Direct;1
242;609;Direct;1
242;484;Direct;1
242;911;Direct;1
242;1109;Direct;1
242;660;Direct;1
242;945;Direct;1
242;221;Direct;1
242;1023;Direct;1
242;337;Direct;1
242;1293;Direct;1
242;651;Direct;1
242;246;Direct;1
242;104;Direct;1
242;446;Direct;1
242;582;Direct;1
242;265;Direct;1
242;1032;Direct;1
242;431;Direct;1
242;600;Direct;1
242;275;Direct;1
242;57;Direct;1
242;750;Direct;1
242;1219;Direct;1
242;843;Direct;1
242;1125;Direct;1
242;292;Direct;1
242;1163;Direct;1
242;213;Direct;1
242;300;Direct;1
242;203;Direct;1
242;433;Direct;1
242;841;Direct;1
242;842;Direct;1
242;7;Direct;1
242;557;Direct;1
242;844;Direct;1
242;749;Direct;1
242;779;Direct;1
242;1119;Direct;1
242;1100;Direct;1
242;1246;Direct;1
242;619;Direct;1
242;174;Direct;1
242;351;Direct;1
242;135;Direct;1
242;1029;Direct;1
242;786;Direct;1
242;410;Direct;1
242;606;Direct;1
242;712;Direct;1
242;703;Direct;1
242;1090;Direct;1
242;1298;Direct;1
242;724;Direct;1
242;1038;Direct;1
242;1149;Direct;1
242;948;Direct;1
242;683;Direct;1
242;854;Direct;1
242;62;Direct;1
242;472;Direct;1
242;1131;Direct;1
242;502;Direct;1
242;1239;Direct;1
242;241;Direct;1
242;592;Direct;1
242;375;Direct;1
242;1021;Direct;1
242;54;Direct;1
243;248;Direct;1
243;793;Direct;1
243;945;Direct;1
243;1118;Direct;1
243;607;Direct;1
243;1023;Direct;1
243;789;Direct;1
243;844;Direct;1
243;221;Direct;1
243;1293;Direct;1
243;1125;Direct;1
243;1029;Direct;1
243;463;Direct;1
22;1118;Direct;1
22;660;Direct;1
22;793;Direct;1
22;104;Direct;1
22;1205;Direct;1
22;1023;Direct;1
22;1021;Direct;1
22;251;Direct;1
22;446;Direct;1
22;571;Direct;1
22;1131;Direct;1
22;1221;Direct;1
22;484;Direct;1
22;945;Direct;1
22;582;Direct;1
256;793;Direct;1
256;1118;Direct;1
256;213;Direct;1
256;1246;Direct;1
256;1023;Direct;1
256;592;Direct;1
256;1163;Direct;1
256;375;Direct;1
256;945;Direct;1
256;1109;Direct;1
256;1029;Direct;1
256;446;Direct;1
256;600;Direct;1
256;786;Direct;1
256;1201;Direct;1
258;793;Direct;1
258;1118;Direct;1
258;945;Direct;1
258;1032;Direct;1
258;1131;Direct;1
258;630;Direct;1
258;337;Direct;1
258;259;Direct;1
258;1125;Direct;1
258;1183;Direct;1
258;502;Direct;1
258;221;Direct;1
258;939;Direct;1
258;293;Direct;1
258;1272;Direct;1
258;93;Direct;1
258;609;Direct;1
258;1090;Direct;1
258;1293;Direct;1
258;1219;Direct;1
274;1118;Direct;1
274;945;Direct;1
274;660;Direct;1
274;1226;Direct;1
274;1023;Direct;1
274;911;Direct;1
274;310;Direct;1
274;1218;Direct;1
274;1031;Direct;1
274;1215;Direct;1
21;763;Direct;1
21;298;Direct;1
21;1163;Direct;1
21;685;Direct;1
21;275;Direct;1
21;683;Direct;1
21;793;Direct;1
21;717;Direct;1
21;1001;Direct;1
21;484;Direct;1
21;1109;Direct;1
21;505;Direct;1
21;1023;Direct;1
21;530;Direct;1
21;1219;Direct;1
21;80;Direct;1
21;221;Direct;1
21;1118;Direct;1
21;553;Direct;1
299;793;Direct;1
299;1118;Direct;1
299;1109;Direct;1
299;337;Direct;1
299;859;Direct;1
299;609;Direct;1
299;502;Direct;1
299;24;Direct;1
299;1032;Direct;1
299;265;Direct;1
302;786;Direct;1
302;446;Direct;1
302;1177;Direct;1
302;325;Direct;1
302;571;Direct;1
302;600;Direct;1
302;1118;Direct;1
302;1169;Direct;1
302;1205;Direct;1
302;221;Direct;1
302;835;Direct;1
302;753;Direct;1
302;556;Direct;1
302;329;Direct;1
302;793;Direct;1
302;1023;Direct;1
302;24;Direct;1
302;346;Direct;1
302;939;Direct;1
302;847;Direct;1
306;763;Direct;1
306;158;Direct;1
306;803;Direct;1
306;911;Direct;1
306;308;Direct;1
306;303;Direct;1
306;1286;Direct;1
306;793;Direct;1
306;1177;Direct;1
306;221;Direct;1
306;760;Direct;1
306;582;Direct;1
306;1118;Direct;1
306;1239;Direct;1
306;307;Direct;1
306;352;Direct;1
306;1023;Direct;1
306;600;Direct;1
306;943;Direct;1
306;683;Direct;1
306;571;Direct;1
306;104;Direct;1
306;1293;Direct;1
306;776;Direct;1
306;609;Direct;1
306;93;Direct;1
306;1163;Direct;1
306;1254;Direct;1
313;1100;Direct;1
313;835;Direct;1
313;1118;Direct;1
313;793;Direct;1
313;939;Direct;1
313;484;Direct;1
313;1023;Direct;1
313;1166;Direct;1
313;1298;Direct;1
313;1131;Direct;1
313;911;Direct;1
915;1038;Direct;1
915;151;Direct;1
915;793;Direct;1
915;1166;Direct;1
915;683;Direct;1
915;502;Direct;1
915;1163;Direct;1
915;1109;Direct;1
915;54;Direct;1
915;356;Direct;1
915;1023;Direct;1
915;1246;Direct;1
915;513;Direct;1
915;939;Direct;1
915;1219;Direct;1
915;1032;Direct;1
915;135;Direct;1
915;592;Direct;1
915;375;Direct;1
915;945;Direct;1
915;1118;Direct;1
915;1021;Direct;1
371;793;Direct;1
371;1118;Direct;1
371;1254;Direct;1
371;266;Direct;1
371;484;Direct;1
371;557;Direct;1
371;582;Direct;1
371;600;Direct;1
371;945;Direct;1
371;1298;Direct;1
371;911;Direct;1
371;1029;Direct;1
402;600;Direct;1
402;939;Direct;1
402;1118;Direct;1
402;1219;Direct;1
402;859;Direct;1
402;446;Direct;1
402;1166;Direct;1
402;665;Direct;1
402;793;Direct;1
402;337;Direct;1
402;914;Direct;1
402;61;Direct;1
402;221;Direct;1
402;835;Direct;1
402;1160;Direct;1
402;911;Direct;1
402;1254;Direct;1
405;945;Direct;1
405;310;Direct;1
405;62;Direct;1
405;1226;Direct;1
405;1163;Direct;1
405;1289;Direct;1
405;1118;Direct;1
405;213;Direct;1
405;275;Direct;1
405;974;Direct;1
405;363;Direct;1
405;582;Direct;1
405;499;Direct;1
405;1105;Direct;1
405;1300;Direct;1
405;1025;Direct;1
405;1023;Direct;1
405;1229;Direct;1
405;484;Direct;1
405;786;Direct;1
405;517;Direct;1
405;520;Direct;1
405;192;Direct;1
405;221;Direct;1
405;378;Direct;1
26;417;Direct;1
26;660;Direct;1
26;1118;Direct;1
26;793;Direct;1
26;203;Direct;1
26;609;Direct;1
26;911;Direct;1
26;1219;Direct;1
26;1131;Direct;1
26;1032;Direct;1
26;206;Direct;1
26;1038;Direct;1
26;221;Direct;1
26;1109;Direct;1
26;1254;Direct;1
26;945;Direct;1
26;446;Direct;1
26;104;Direct;1
26;1166;Direct;1
26;795;Direct;1
26;220;Direct;1
26;310;Direct;1
26;843;Direct;1
26;210;Direct;1
26;685;Direct;1
26;324;Direct;1
26;600;Direct;1
26;337;Direct;1
26;792;Direct;1
26;9;Direct;1
26;1027;Direct;1
26;151;Direct;1
26;907;Direct;1
26;683;Direct;1
26;725;Direct;1
26;1120;Direct;1
26;1125;Direct;1
26;1298;Direct;1
26;1023;Direct;1
26;854;Direct;1
422;427;Direct;1
422;421;Direct;1
422;660;Direct;1
422;945;Direct;1
422;310;Direct;1
422;1118;Direct;1
422;1221;Direct;1
422;1219;Direct;1
422;793;Direct;1
422;287;Direct;1
422;1021;Direct;1
422;446;Direct;1
422;221;Direct;1
422;1038;Direct;1
422;1263;Direct;1
422;1015;Direct;1
422;960;Direct;1
423;1118;Direct;1
423;1263;Direct;1
423;310;Direct;1
423;793;Direct;1
423;892;Direct;1
423;1229;Direct;1
423;1023;Direct;1
423;513;Direct;1
423;502;Direct;1
423;446;Direct;1
423;1254;Direct;1
423;421;Direct;1
423;1148;Direct;1
423;1221;Direct;1
423;1219;Direct;1
423;135;Direct;1
423;221;Direct;1
423;265;Direct;1
424;428;Direct;1
424;1283;Direct;1
424;421;Direct;1
424;911;Direct;1
424;1263;Direct;1
424;1254;Direct;1
424;793;Direct;1
424;425;Direct;1
424;1118;Direct;1
424;1226;Direct;1
424;1;Direct;1
424;129;Direct;1
424;426;Direct;1
424;1227;Direct;1
424;609;Direct;1
424;582;Direct;1
424;606;Direct;1
424;221;Direct;1
424;429;Direct;1
424;1219;Direct;1
424;1131;Direct;1
424;678;Direct;1
424;502;Direct;1
424;660;Direct;1
424;446;Direct;1
424;601;Direct;1
424;1023;Direct;1
424;310;Direct;1
424;843;Direct;1
131;793;Direct;1
131;1118;Direct;1
131;844;Direct;1
131;1109;Direct;1
131;911;Direct;1
131;130;Direct;1
131;1105;Direct;1
131;221;Direct;1
131;1270;Direct;1
131;1023;Direct;1
490;1118;Direct;1
490;1219;Direct;1
490;337;Direct;1
490;452;Direct;1
490;1258;Direct;1
490;1163;Direct;1
490;1160;Direct;1
490;793;Direct;1
490;838;Direct;1
490;1145;Direct;1
490;789;Direct;1
490;1023;Direct;1
490;484;Direct;1
490;726;Direct;1
490;61;Direct;1
516;793;Direct;1
516;1118;Direct;1
516;763;Direct;1
516;1038;Direct;1
516;803;Direct;1
516;945;Direct;1
516;600;Direct;1
516;176;Direct;1
516;1032;Direct;1
516;24;Direct;1
516;301;Direct;1
516;1023;Direct;1
516;476;Direct;1
516;495;Direct;1
516;828;Direct;1
516;213;Direct;1
516;275;Direct;1
516;475;Direct;1
516;683;Direct;1
516;1085;Direct;1
519;518;Direct;1
519;1038;Direct;1
519;945;Direct;1
519;1118;Direct;1
519;911;Direct;1
519;213;Direct;1
519;1289;Direct;1
519;221;Direct;1
519;793;Direct;1
519;609;Direct;1
519;462;Direct;1
519;1226;Direct;1
519;1254;Direct;1
519;792;Direct;1
519;600;Direct;1
519;669;Direct;1
519;1205;Direct;1
519;582;Direct;1
519;847;Direct;1
519;313;Direct;1
519;703;Direct;1
519;843;Direct;1
519;155;Direct;1
519;484;Direct;1
519;116;Direct;1
519;1023;Direct;1
519;864;Direct;1
519;1183;Direct;1
519;789;Direct;1
519;1073;Direct;1
519;688;Direct;1
519;62;Direct;1
519;329;Direct;1
519;1258;Direct;1
519;1261;Direct;1
519;1100;Direct;1
543;1118;Direct;1
543;1219;Direct;1
543;793;Direct;1
543;945;Direct;1
543;155;Direct;1
543;49;Direct;1
543;580;Direct;1
543;1226;Direct;1
543;1227;Direct;1
543;1289;Direct;1
543;499;Direct;1
543;213;Direct;1
543;582;Direct;1
543;1023;Direct;1
543;1218;Direct;1
551;793;Direct;1
551;550;Direct;1
551;1166;Direct;1
551;1219;Direct;1
551;1023;Direct;1
551;1021;Direct;1
551;1105;Direct;1
559;1118;Direct;1
559;555;Direct;1
559;1162;Direct;1
